# 7 lines comment #######################################################################################################################################
# CSV-file forked from https://github.com/ieg-dhr/bombers_baedeker/blob/d635654323c99c4540b390c0a5a39d4121760cc5/visualisation/coords_dariah_format.csv #
# to contribute valid geographic coordinates in decimal degrees and standard wkt-format                                                                 #
# cf. https://hackmd.io/@KaCeBe/qgis_csv_bombers_baedeker2                                                                                              #
# field types: fid:integer; Name:string, lat_gm:string, lon_gm:string, note:string; lat_dec:real; lon_dec:real; WKT:string                              #
# Some placenames and coordinate numbers have been corrected, cf. attribute comment on changes                                                          #
#########################################################################################################################################################
fid,Name,lat_gm,lon_gm,note,lat_dec,lon_dec,WKT
128,FREIBERG,50°55,13°20,Typo in BB. 30°20' should read 13°20',50.92,13.33,POINT (13.3333333333333 50.9166666666667)
129,FREISING,48°25,11°45,,48.42,11.75,POINT (11.75 48.4166666666667)
130,FREYBURG,51°10,11°50,,51.17,11.83,POINT (11.8333333333333 51.1666666666667)
131,FRIEDBERG,50°20,8°40,,50.33,8.67,POINT (8.66666666666667 50.3333333333333)
132,FRIEDRICHSFELD,49°50,8°30,,49.83,8.5,POINT (8.5 49.8333333333333)
133,FRIEDRICHSHAFEN,47°40,9°30,OCR issue,47.67,9.5,POINT (9.5 47.6666666666667)
134,FULDA,50°30,9°40,,50.5,9.67,POINT (9.66666666666667 50.5)
135,FUERSTENHAGEN,51°13,9°42,umlauts resolved,51.22,9.7,POINT (9.7 51.2166666666667)
136,FUERSTENWALDE,50°20,14°5,umlauts resolved,50.33,14.08,POINT (14.0833333333333 50.3333333333333)
137,FUERTH,49°30,11°5,umlauts resolved,49.5,11.08,POINT (11.0833333333333 49.5)
138,GAGGENAU,48°50,8°20,,48.83,8.33,POINT (8.33333333333333 48.8333333333333)
139,GARMISCH,47°30,11°5,,47.5,11.08,POINT (11.0833333333333 47.5)
140,GEISLINGEN,48°35,9°50,OCR-corrections,48.58,9.83,POINT (9.83333333333333 48.5833333333333)
141,GEISWEID,50°55,8°0,,50.92,8,POINT (8.0 50.9166666666667)
142,GELSENKIRCHEN,51°33,7°6,,51.55,7.1,POINT (7.1 51.55)
143,GENSHAGEN,52°20,13°20,,52.33,13.33,POINT (13.3333333333333 52.3333333333333)
144,GENTHIN,52°24,12°10,,52.4,12.17,POINT (12.1666666666667 52.4)
145,GERA,50°50,12°5,,50.83,12.08,POINT (12.0833333333333 50.8333333333333)
146,GIESSEN,50°35,8°40,,50.58,8.67,POINT (8.66666666666667 50.5833333333333)
147,GLADBECK,51°35,7°0,,51.58,7,POINT (7.0 51.5833333333333)
148,GLATZ,50°25,16°30,,50.42,16.5,POINT (16.5 50.4166666666667)
149,GLAUCHAU,50°50,12°30,,50.83,12.5,POINT (12.5 50.8333333333333)
150,GLEIWITZ,50°18,18°40,,50.3,18.67,POINT (18.6666666666667 50.3)
151,GLOGAU,51°40,16°5,,51.67,16.08,POINT (16.0833333333333 51.6666666666667)
152,GOEPPINGEN,48°45,9°40,umlauts resolved,48.75,9.67,POINT (9.66666666666667 48.75)
153,GOERLITZ,51°10,15°0,umlauts resolved,51.17,15,POINT (15.0 51.1666666666667)
154,GOSLAR,51°55,10°25,,51.92,10.42,POINT (10.4166666666667 51.9166666666667)
155,GOTHA,50°55,10°40,,50.92,10.67,POINT (10.6666666666667 50.9166666666667)
156,GOETTINGEN,51°30,9°55,umlauts resolved,51.5,9.92,POINT (9.91666666666667 51.5)
157,GREIFSWALD,54°51,13°25,,54.85,13.42,POINT (13.4166666666667 54.85)
158,GREIZ,50°40,12°10,,50.67,12.17,POINT (12.1666666666667 50.6666666666667)
159,GREVENBROICH,51°5,6°35,,51.08,6.58,POINT (6.58333333333333 51.0833333333333)
160,GRONAU,52°15,7°0,,52.25,7,POINT (7.0 52.25)
161,GRUENBERG,51°55,15°30,umlauts resolved,51.92,15.5,POINT (15.5 51.9166666666667)
162,GUBEN,51°55,14°40,,51.92,14.67,POINT (14.6666666666667 51.9166666666667)
163,GUMBINNEN,54°35,22°10,,54.58,22.17,POINT (22.1666666666667 54.5833333333333)
164,GUMMERSBACH,51°5,7°35,,51.08,7.58,POINT (7.58333333333333 51.0833333333333)
165,GUESTROW,53°50,12°10,umlauts resolved,53.83,12.17,POINT (12.1666666666667 53.8333333333333)
166,GUETERSLOH,51°55,8°20,umlauts resolved,51.92,8.33,POINT (8.33333333333333 51.9166666666667)
167,HAGEN,51°20,7°30,,51.33,7.5,POINT (7.5 51.3333333333333)
168,HALBERSTADT,51°55,11°0,,51.92,11,POINT (11.0 51.9166666666667)
169,HALLE,51°30,12°0,,51.5,12,POINT (12.0 51.5)
170,HAMBURG,53°35,10°0,,53.58,10,POINT (10.0 53.5833333333333)
171,HAMELN,55°5,9°20,OCR ISSUE,55.08,9.33,POINT (9.33333333333333 55.0833333333333)
172,HAMM,51°40,7°50,,51.67,7.83,POINT (7.83333333333333 51.6666666666667)
173,HANAU,50°10,8°55,,50.17,8.92,POINT (8.91666666666667 50.1666666666667)
174,HANOVER,52°25,9°55,,52.42,9.92,POINT (9.91666666666667 52.4166666666667)
175,HEIDELBERG,49°25,8°50,,49.42,8.83,POINT (8.83333333333333 49.4166666666667)
176,HEIDENAU,51°58,13°53,,51.97,13.88,POINT (13.8833333333333 51.9666666666667)
177,HEIDENHEIM,48°40,10°10,OCR issue,48.67,10.17,POINT (10.1666666666667 48.6666666666667)
178,HEILBRONN,49°10,9°15,,49.17,9.25,POINT (9.25 49.1666666666667)
179,HELMSTEDT,52°15,11°0,,52.25,11,POINT (11.0 52.25)
180,HERBORN,50°41,8°19,,50.68,8.32,POINT (8.31666666666667 50.6833333333333)
181,HERNE,51°35,7°15,,51.58,7.25,POINT (7.25 51.5833333333333)
182,HERSFELD,50°50,9°40,,50.83,9.67,POINT (9.66666666666667 50.8333333333333)
183,HEYDEBRECK,50°20,18°15,,50.33,18.25,POINT (18.25 50.3333333333333)
184,HILDEN,51°10,6°55,,51.17,6.92,POINT (6.91666666666667 51.1666666666667)
185,HILDESHEIM,52°10,10°0,,52.17,10,POINT (10.0 52.1666666666667)
186,HINDENBURG,50°20,18°45,,50.33,18.75,POINT (18.75 50.3333333333333)
187,HIRSCHBERG,50°55,15°25,,50.92,15.42,POINT (15.4166666666667 50.9166666666667)
188,HOF,50°20,12°25,,50.33,12.42,POINT (12.4166666666667 50.3333333333333)
189,HOHENSTEIN-ERNSTTHAL,50°45,12°45,,50.75,12.75,POINT (12.75 50.75)
190,HOMBERG,51°30,6°40,,51.5,6.67,POINT (6.66666666666667 51.5)
191,HOMBURG,49°20,7°20,,49.33,7.33,POINT (7.33333333333333 49.3333333333333)
192,HOPPECKE,51°24,8°38,,51.4,8.63,POINT (8.63333333333333 51.4)
193,HOERSELGAU,50°55,10°35,umlauts resolved,50.92,10.58,POINT (10.5833333333333 50.9166666666667)
194,HOEXTER,51°46,9°25,umlauts resolved,51.77,9.42,POINT (9.41666666666667 51.7666666666667)
195,IBBENBUEREN,52°15,7°45,umlauts resolved,52.25,7.75,POINT (7.75 52.25)
196,IDAR-OBERSTEIN,49°40,7°20,OCR issue,49.67,7.33,POINT (7.33333333333333 49.6666666666667)
197,ILMENAU,50°40,10°55,,50.67,10.92,POINT (10.9166666666667 50.6666666666667)
198,ILSENBURG,51°55,10°20,OCR issue,51.92,10.33,POINT (10.3333333333333 51.9166666666667)
199,INGOLSTADT,48°45,11°25,OCR issue,48.75,11.42,POINT (11.4166666666667 48.75)
200,INSTERBURG,54°40,21°50,,54.67,21.83,POINT (21.8333333333333 54.6666666666667)
201,ISERLOHN,51°20,7°40,,51.33,7.67,POINT (7.66666666666667 51.3333333333333)
202,ITZEHOE,53°55,9°30,,53.92,9.5,POINT (9.5 53.9166666666667)
203,JAUER,51°5,16°10,,51.08,16.17,POINT (16.1666666666667 51.0833333333333)
204,JENA,50°55,11°35,,50.92,11.58,POINT (11.5833333333333 50.9166666666667)
205,KACHLET,48°35,13°25,,48.58,13.42,POINT (13.4166666666667 48.5833333333333)
206,KAISERSLAUTERN,49°30,7°45,,49.5,7.75,POINT (7.75 49.5)
207,KAMP-LINTFORT,51°30,6°35,,51.5,6.58,POINT (6.58333333333333 51.5)
208,KARLSRUHE,49°05,8°25,,49.08,8.42,POINT (8.41666666666667 49.0833333333333)
209,KASSEL,51°20,9°30,,51.33,9.5,POINT (9.5 51.3333333333333)
210,KEHL,48°35,7°50,,48.58,7.83,POINT (7.83333333333333 48.5833333333333)
211,KEMPTEN,47°45,10°20,,47.75,10.33,POINT (10.3333333333333 47.75)
212,KIEL,54°20,10°10,,54.33,10.17,POINT (10.1666666666667 54.3333333333333)
213,KLEVE,51°45,6°10,,51.75,6.17,POINT (6.16666666666667 51.75)
214,KOBLENZ,50°20,7°35,,50.33,7.58,POINT (7.58333333333333 50.3333333333333)
215,KOHLFURT,51°18,15°12,,51.3,15.2,POINT (15.2 51.3)
216,KOLBERG,54°10,15°35,,54.17,15.58,POINT (15.5833333333333 54.1666666666667)
217,KOELN-AM-RHEIN,50°55,6°55,umlauts resolved,50.92,6.92,POINT (6.91666666666667 50.9166666666667)
218,KOENIGSBERG,54°40,20°30,umlauts resolved,54.67,20.5,POINT (20.5 54.6666666666667)
219,KOENIGSHULD,50°45,18°0,umlauts resolved,50.75,18,POINT (18.0 50.75)
220,KONSTANZ,47°40,9°10,,47.67,9.17,POINT (9.16666666666667 47.6666666666667)
221,KORNWESTHEIM,48°55,9°10,,48.92,9.17,POINT (9.16666666666667 48.9166666666667)
222,KOSEL,50°20,18°10,,50.33,18.17,POINT (18.1666666666667 50.3333333333333)
223,KOESLIN,54°10,16°10,umlauts resolved,54.17,16.17,POINT (16.1666666666667 54.1666666666667)
224,KOETHEN,51°45,12°0,umlauts resolved,51.75,12,POINT (12.0 51.75)
225,KREFELD,51°20,6°35,,51.33,6.58,POINT (6.58333333333333 51.3333333333333)
226,KRUPPAMUEHLE,50°35,18°35,umlauts resolved,50.58,18.58,POINT (18.5833333333333 50.5833333333333)
227,KUESTRIN,52°35,14°40,umlauts resolved,52.58,14.67,POINT (14.6666666666667 52.5833333333333)
228,LAHR,48°20,7;55,,48.33,7.92,POINT (7.91666666666667 48.3333333333333)
229,LANDAU,49°10,8°5,,49.17,8.08,POINT (8.08333333333333 49.1666666666667)
230,LANDSBERG,52°45,15°15,,52.75,15.25,POINT (15.25 52.75)
231,LANDSHUT,48°30,12°10,OCR issue,48.5,12.17,POINT (12.1666666666667 48.5)
232,LANGENBIELAU,50°40,16°35,OCR issue,50.67,16.58,POINT (16.5833333333333 50.6666666666667)
233,LANGENFELD,51°5,6°55,,51.08,6.92,POINT (6.91666666666667 51.0833333333333)
234,LAUBAN,51°5,15°15,,51.08,15.25,POINT (15.25 51.0833333333333)
235,LAUENBURG,54°35,17°45,,54.58,17.75,POINT (17.75 54.5833333333333)
236,LAUTA,51°30,14°0;,,51.5,14,POINT (14.0 51.5)
237,LECHFELD,48°10,10°50,,48.17,10.83,POINT (10.8333333333333 48.1666666666667)
238,LEHRTE,52°21,9°58,,52.35,9.97,POINT (9.96666666666667 52.35)
239,LEIPZIG,51°20,12°20,,51.33,12.33,POINT (12.3333333333333 51.3333333333333)
240,LETMATHE,51°21,7°28,,51.35,7.47,POINT (7.46666666666667 51.35)
241,LEVERKUSEN,51°0,7°0,,51,7,POINT (7 51)
242,LIEGNITZ,51°15,16°10,,51.25,16.17,POINT (16.1666666666667 51.25)
243,LIMBACH,50°50,12°45,,50.83,12.75,POINT (12.75 50.8333333333333)
244,LIMBURG,50°25,8°0,,50.42,8,POINT (8.0 50.4166666666667)
245,LINDAU,47°35,9°40,,47.58,9.67,POINT (9.66666666666667 47.5833333333333)
246,LIPPSTADT,51°40,8°20,,51.67,8.33,POINT (8.33333333333333 51.6666666666667)
247,LOEBAU,51°5,14°40,umlauts resolved,51.08,14.67,POINT (14.6666666666667 51.0833333333333)
248,LOERRACH,47°35,7°40,umlauts resolved,47.58,7.67,POINT (7.66666666666667 47.5833333333333)
249,LUEBECK,53°50,10°40,umlauts resolved,53.83,10.67,POINT (10.6666666666667 53.8333333333333)
250,LUCKENWALDE,52°5,13°10,,52.08,13.17,POINT (13.1666666666667 52.0833333333333)
251,LUEDENSCHEID,51°15,7°55,umlauts resolved,51.25,7.92,POINT (7.91666666666667 51.25)
252,LUDWIGSBURG,48°55,9°10,,48.92,9.17,POINT (9.16666666666667 48.9166666666667)
253,LUDWIGSHAFEN,49°30,8°50,,49.5,8.83,POINT (8.83333333333333 49.5)
254,LUENEBURG,53°15,10°25,umlauts resolved,53.25,10.42,POINT (10.4166666666667 53.25)
